书名,作者,出版社,年份,评分,评价人数,一句话评语
上学记,何兆武 口述 , 生活·读书·新知三联书店 , 2006-8 ,8.9,13590,20世纪中国知识分子的心灵史
象棋的故事,[奥] 斯蒂芬·茨威格 , 上海译文出版社 , 2007-7 ,9.1,11625,纳粹法西斯对人心灵的折磨及摧残
青铜时代,王小波 , 花城出版社 , 1997-5 ,8.8,25114,唐人传奇贯注现代情趣
从零开始的女性主义,[日本] 上野千鹤子 , 北京联合出版公司 , 2021-9 ,8.7,39439, 
雕刻时光,[苏] 安德烈·塔可夫斯基 , 南海出版公司 , 2016-5 ,9.5,6869, 
从一到无穷大,[美] G. 伽莫夫 , 科学出版社 , 2002-11 ,9.1,12886,科学中的事实和臆测
荆棘鸟,[澳] 考琳·麦卡洛 , 译林出版社 , 1998-7 ,8.6,50491,澳洲乱世情
现代艺术150年,[英] 威尔·贡培兹 , 广西师范大学出版社 , 2017-3-1 ,9.1,12276, 
火星救援,[美] 安迪·威尔 , 译林出版社 , 2015-10 ,8.9,17350,跟火星来一场不是你死就是我活的过家家游戏
庄子,孙通海 译注 , 中华书局 , 2007-04 ,9.4,10079,野马也，尘埃也，生物之以息相吹也
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 , 译林出版社 , 2012-11 ,9.1,11457,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
骆驼祥子,老舍 , 人民文学出版社 , 2000-3-1 ,8.6,189055,旧中国老北京贫苦市民的典型命运
二手时间,[白俄] S. A. 阿列克谢耶维奇 , 中信出版社 , 2016-1 ,8.9,20458,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
规训与惩罚,[法] 米歇尔·福柯 , 生活·读书·新知三联书店 , 2003-1 ,9.3,9222,伴随着惩罚的人性化，自由反而日益丧失了
中国哲学简史,冯友兰 , 新世界出版社 , 2004-1 ,8.9,18688,中国哲学入门书
繁花,金宇澄 , 上海文艺出版社 , 2013-3 ,8.7,30756,海上繁花，请静观静读
正见,宗萨蒋扬钦哲仁波切 , 中国友谊出版公司 , 2007-1 ,8.8,16669,佛陀的证悟
金锁记,张爱玲 , 哈尔滨出版社 , 2005-6 ,8.6,58811,一个小商人家庭出身的女子曹七巧的心灵变迁历程
此生未完成,于娟 , 湖南科学技术出版社 , 2011-5 ,8.8,21626,一个母亲、妻子、女儿的生命日记
香水,[德] 帕·聚斯金德 , 上海译文出版社 , 2009-6 ,8.9,19289, 
时间的秩序,[意] 卡洛·罗韦利 , 湖南科学技术出版社 , 2019-6 ,8.9,18504, 
夏洛的网,[美] E.B.怀特 , 上海译文出版社 , 2004-5 ,8.6,65169,一个蜘蛛和小猪的故事，写给孩子，也写给大人
步履不停,[日] 是枝裕和 , 北京联合出版公司 , 2017-5 ,8.7,37120,人生路上，步履不停，总有那么一点来不及
了不起的盖茨比,[美] 斯科特·菲茨杰拉德 , 南海出版公司 , 2012-5 ,8.7,46671, 
如彗星划过夜空,林达 , 生活·读书·新知三联书店 , 2006-3 ,8.9,11122, 
哈姆莱特,[英] 莎士比亚 , 人民文学出版社 , 2001-1 ,8.7,45389,生存还是毁灭，这是一个值得思考的问题
